,Sex,Varsta,Ghr,HP,Infiltr mono,Infiltr neutrofile,Atrofie,Metaplazie
Sex,1.0,0.3170600761621718,-0.33249999770281335,-0.03293324609693921,-0.0681466275636382,-0.2357022603955159,0.0557278212575353,-0.16872981624383923
Varsta,0.3170600761621718,1.0,-0.3158470140549161,0.340088246463122,0.07121720226848123,0.11272390888715945,-0.34449745648272867,-0.04856615566049657
Ghr,-0.33249999770281335,-0.3158470140549161,1.0,0.07897598854112708,0.0643333741089568,0.11365055134747806,0.16789753131909715,0.4264974990730793
HP,-0.03293324609693921,0.340088246463122,0.07897598854112708,1.0,0.45334651055841124,0.10867416766094527,-0.05138834545377819,0.3306308234538563
Infiltr mono,-0.0681466275636382,0.07121720226848123,0.0643333741089568,0.45334651055841124,1.0,0.22487239817113255,0.6531980497892843,0.5116773736170258
Infiltr neutrofile,-0.2357022603955159,0.11272390888715945,0.11365055134747806,0.10867416766094527,0.22487239817113255,1.0,0.052540693749273386,0.05965499862718936
Atrofie,0.0557278212575353,-0.34449745648272867,0.16789753131909715,-0.05138834545377819,0.6531980497892843,0.052540693749273386,1.0,0.5829825925081134
Metaplazie,-0.16872981624383923,-0.04856615566049657,0.4264974990730793,0.3306308234538563,0.5116773736170258,0.05965499862718936,0.5829825925081134,1.0
